customer_id,tenure,city_tier,preferred_payment_mode,prefered_order_cat,satisfaction_score,complain,order_count,day_since_last_order,cashback_amount,churn
50050,2.0,1,Debit Card,Mobile Phone,3,1,3,1.0,275.43,0
50051,35.0,1,COD,Mobile Phone,4,1,3,13.0,180.53,0
50052,15.0,1,E wallet,Grocery,3,1,3,2.0,251.47,0
50053,28.0,1,Debit Card,Others,3,0,4,10.0,236.74,0
50054,23.0,3,Credit Card,Grocery,4,0,2,3.0,123.53,0
50055,9.0,3,Debit Card,Laptop & Accessory,1,0,2,4.0,166.48,0
50056,25.0,2,Debit Card,Fashion,5,0,3,8.0,233.66,0
50057,1.0,1,E wallet,Mobile Phone,4,1,6,2.0,232.0,0
50058,2.0,1,Debit Card,Laptop & Accessory,4,0,2,0.0,130.82,0
50059,0.0,1,Credit Card,Mobile Phone,3,0,2,1.0,112.37,0
50060,4.0,3,Credit Card,Laptop & Accessory,5,0,2,2.0,214.05,0
50061,5.0,1,Credit Card,Laptop & Accessory,1,0,2,16.0,143.79,0
50062,3.0,1,COD,Laptop & Accessory,1,1,6,13.0,176.93,1
50063,18.0,1,E wallet,Others,5,0,6,16.0,153.03,0
50064,4.0,1,E wallet,Fashion,4,0,4,11.0,146.6,0
50065,3.0,3,Debit Card,Laptop & Accessory,3,0,1,7.0,175.29,1
50066,8.0,1,Debit Card,Grocery,4,0,7,0.0,203.57,0
50067,2.0,1,E wallet,Others,3,1,3,3.0,286.77,0
50068,16.0,1,COD,Fashion,3,0,3,17.0,130.3,0
50069,1.0,3,Credit Card,Fashion,4,0,7,1.0,144.47,1
50070,43.0,1,COD,Laptop & Accessory,5,1,3,7.0,149.17,0
50071,15.0,3,Debit Card,Mobile Phone,5,0,4,7.0,196.96,0
50072,2.0,1,Debit Card,Mobile Phone,5,0,3,1.0,132.75,0
50073,0.0,3,Debit Card,Others,3,1,3,13.0,196.71,1
50074,17.0,2,Credit Card,Fashion,3,1,7,1.0,75.14,1
50075,12.0,1,E wallet,Laptop & Accessory,4,1,5,14.0,120.54,0
50076,13.0,1,Debit Card,Mobile Phone,4,0,6,5.0,169.15,0
50077,15.0,1,UPI,Mobile Phone,3,0,3,0.0,137.81,0
50078,1.0,1,Credit Card,Fashion,4,1,5,5.0,217.59,1
50079,4.0,3,Credit Card,Laptop & Accessory,4,1,1,4.0,165.86,1
50080,1.0,1,E wallet,Fashion,5,0,4,5.0,139.54,0
50081,20.0,1,Debit Card,Laptop & Accessory,2,1,5,4.0,168.65,1
50082,10.0,1,E wallet,Laptop & Accessory,4,0,4,5.0,202.32,0
50083,4.0,1,Debit Card,Fashion,3,0,3,4.0,233.52,0
50084,1.0,3,Debit Card,Laptop & Accessory,2,0,2,9.0,209.39,0
50085,4.0,1,Credit Card,Fashion,3,0,3,5.0,203.72,0
50086,4.0,3,UPI,Laptop & Accessory,1,0,1,2.0,255.22,0
50087,13.0,3,Credit Card,Others,3,1,4,0.0,100.54,0
50088,10.0,1,Credit Card,Fashion,1,1,1,3.0,182.7,0
50089,22.0,1,E wallet,Laptop & Accessory,5,0,1,5.0,169.54,0
50090,6.0,3,Debit Card,Fashion,2,1,2,1.0,188.71,1
50091,1.0,1,E wallet,Laptop & Accessory,5,1,2,18.0,155.9,0
50092,12.0,1,Credit Card,Fashion,5,0,5,22.0,170.42,0
50093,14.0,1,Debit Card,Laptop & Accessory,3,1,4,3.0,210.0,0
50094,8.0,1,Debit Card,Laptop & Accessory,1,0,6,17.0,220.95,1
50095,15.0,2,Debit Card,Others,4,0,5,7.0,165.45,0
50096,7.0,1,Debit Card,Laptop & Accessory,2,0,1,5.0,111.53,0
50097,7.0,1,Debit Card,Mobile Phone,2,0,2,7.0,236.28,0
50098,6.0,3,Debit Card,Laptop & Accessory,4,0,5,6.0,145.48,1
50099,0.0,2,Credit Card,Fashion,3,0,1,9.0,115.47,0
50100,1.0,1,Credit Card,Laptop & Accessory,4,1,4,0.0,194.37,0
50101,0.0,2,Credit Card,Laptop & Accessory,4,0,3,12.0,195.87,0
50102,10.0,1,Debit Card,Laptop & Accessory,5,0,3,1.0,244.66,0
50103,4.0,2,E wallet,Laptop & Accessory,1,1,2,4.0,164.02,0
50104,7.0,1,Debit Card,Others,2,1,3,10.0,190.02,1
50105,24.0,1,Credit Card,Grocery,4,0,2,2.0,195.36,0
50106,3.0,2,Debit Card,Grocery,5,0,3,22.0,159.47,0
50107,5.0,1,Credit Card,Laptop & Accessory,5,0,1,1.0,157.56,0
50108,14.0,3,Debit Card,Laptop & Accessory,4,1,4,1.0,238.58,0
50109,3.0,1,E wallet,Mobile Phone,4,1,3,4.0,152.37,1
50110,1.0,3,UPI,Others,4,0,2,0.0,148.86,0
50111,3.0,3,E wallet,Mobile Phone,2,0,5,0.0,245.89,0
50112,2.0,1,Debit Card,Laptop & Accessory,4,1,4,5.0,108.89,0
50113,27.0,2,Debit Card,Fashion,3,0,7,3.0,212.01,0
50114,17.0,1,UPI,Laptop & Accessory,3,0,3,6.0,230.02,0
50115,10.0,3,Credit Card,Grocery,5,0,3,16.0,115.26,0
50116,21.0,1,UPI,Others,5,0,3,14.0,144.28,0
50117,16.0,2,Debit Card,Others,1,1,1,7.0,156.05,0
50118,2.0,1,COD,Laptop & Accessory,5,0,2,3.0,250.07,0
50119,22.0,1,UPI,Mobile Phone,2,0,1,3.0,206.18,0
50120,8.0,1,Credit Card,Mobile Phone,2,0,3,3.0,238.78,0
50121,16.0,1,Debit Card,Laptop & Accessory,5,1,4,10.0,226.0,0
50122,23.0,2,Credit Card,Mobile Phone,3,0,3,8.0,151.41,0
50123,4.0,1,UPI,Fashion,5,0,4,6.0,251.73,0
50124,1.0,2,UPI,Laptop & Accessory,3,0,3,5.0,132.27,0
50125,3.0,1,Debit Card,Laptop & Accessory,5,0,5,2.0,173.35,0
50126,6.0,1,Debit Card,Laptop & Accessory,5,0,1,4.0,171.09,0
50127,17.0,1,E wallet,Others,3,0,3,2.0,182.92,0
50128,20.0,3,Credit Card,Fashion,4,0,4,4.0,259.7,0
50129,0.0,3,E wallet,Fashion,5,1,3,12.0,133.64,1
50130,7.0,1,E wallet,Laptop & Accessory,3,0,6,4.0,177.73,0
50131,5.0,1,UPI,Mobile Phone,3,0,2,30.0,187.18,0
50132,3.0,1,Debit Card,Laptop & Accessory,4,1,3,3.0,174.96,1
50133,1.0,2,Debit Card,Fashion,3,0,9,1.0,180.66,0
50134,4.0,1,Debit Card,Mobile Phone,5,1,3,19.0,67.03,1
50135,29.0,2,UPI,Grocery,1,0,2,1.0,178.18,0
50136,4.0,1,Credit Card,Laptop & Accessory,3,0,7,4.0,198.09,0
50137,7.0,2,Debit Card,Laptop & Accessory,4,1,4,6.0,169.12,0
50138,12.0,2,Debit Card,Grocery,3,0,1,3.0,196.92,0
50139,5.0,1,Debit Card,Grocery,3,0,5,0.0,162.96,0
50140,36.0,1,E wallet,Mobile Phone,3,0,1,5.0,141.15,0
50141,33.0,1,E wallet,Laptop & Accessory,5,1,4,21.0,161.51,0
50142,3.0,1,Credit Card,Mobile Phone,3,0,5,6.0,214.35,0
50143,7.0,3,Debit Card,Mobile Phone,3,0,5,5.0,145.43,0
50144,4.0,1,UPI,Fashion,4,0,1,4.0,227.34,0
50145,3.0,3,Debit Card,Fashion,4,0,4,2.0,249.38,0
50146,0.0,1,Credit Card,Laptop & Accessory,4,0,2,2.0,172.71,0
50147,9.0,1,Debit Card,Fashion,3,0,4,7.0,91.15,0
50148,7.0,1,Debit Card,Laptop & Accessory,1,0,4,2.0,269.19,1
50149,1.0,1,Debit Card,Laptop & Accessory,4,1,7,12.0,274.76,1
50150,3.0,1,Credit Card,Mobile Phone,3,0,5,1.0,192.69,0
50151,24.0,1,Credit Card,Laptop & Accessory,3,0,1,18.0,258.49,0
50152,3.0,1,Debit Card,Fashion,2,1,3,3.0,153.29,1
50153,2.0,1,Debit Card,Mobile Phone,2,1,2,1.0,197.51,0
50154,7.0,1,UPI,Mobile Phone,4,1,7,0.0,136.4,0
50155,42.0,1,Debit Card,Mobile Phone,3,0,2,9.0,223.06,0
50156,3.0,1,Debit Card,Others,2,0,3,4.0,193.82,0
50157,11.0,3,Credit Card,Grocery,1,0,3,1.0,123.72,1
50158,14.0,1,E wallet,Grocery,2,0,2,2.0,131.96,0
50159,3.0,2,Debit Card,Mobile Phone,3,0,5,1.0,127.79,0
50160,13.0,1,COD,Laptop & Accessory,4,0,3,1.0,206.29,0
50161,5.0,2,Debit Card,Mobile Phone,2,0,2,0.0,184.13,0
50162,10.0,1,Debit Card,Mobile Phone,3,1,7,3.0,191.61,0
50163,10.0,3,Debit Card,Laptop & Accessory,1,1,3,3.0,198.83,0
50164,8.0,1,Credit Card,Laptop & Accessory,1,1,2,4.0,188.32,0
50165,1.0,3,Debit Card,Mobile Phone,5,0,2,4.0,207.4,0
50166,18.0,1,Credit Card,Fashion,4,1,1,2.0,180.88,0
50167,4.0,1,Debit Card,Mobile Phone,4,1,4,10.0,135.25,0
50168,2.0,2,Debit Card,Fashion,2,0,4,2.0,110.72,0
50169,0.0,1,UPI,Mobile Phone,3,0,1,4.0,199.85,1
50170,9.0,1,E wallet,Laptop & Accessory,3,0,1,2.0,242.33,0
50171,11.0,1,Debit Card,Mobile Phone,4,1,3,9.0,168.67,0
50172,0.0,1,Credit Card,Others,3,0,4,31.0,317.97,1
50173,7.0,3,Credit Card,Laptop & Accessory,4,0,1,1.0,164.37,0
50174,3.0,1,Debit Card,Mobile Phone,2,0,2,16.0,293.9,0
50175,10.0,3,Credit Card,Laptop & Accessory,3,0,4,0.0,174.95,0
50176,2.0,1,Debit Card,Laptop & Accessory,5,0,4,8.0,235.68,0
50177,12.0,1,Credit Card,Mobile Phone,3,0,3,14.0,156.03,0
50178,5.0,3,E wallet,Fashion,2,1,5,5.0,146.61,0
50179,28.0,3,Debit Card,Mobile Phone,3,0,3,2.0,190.73,0
50180,1.0,2,Debit Card,Laptop & Accessory,4,1,2,1.0,206.99,0
50181,4.0,1,Debit Card,Mobile Phone,2,0,4,9.0,174.02,1
50182,1.0,1,COD,Laptop & Accessory,4,0,1,1.0,112.24,0
50183,26.0,1,E wallet,Laptop & Accessory,5,1,2,3.0,201.94,0
50184,21.0,1,Debit Card,Laptop & Accessory,3,0,2,8.0,286.76,0
50185,3.0,1,Credit Card,Grocery,1,1,2,9.0,177.41,1
50186,11.0,3,Debit Card,Laptop & Accessory,4,1,2,2.0,191.54,1
50187,17.0,3,Credit Card,Laptop & Accessory,1,1,2,4.0,95.76,1
50188,8.0,1,Credit Card,Mobile Phone,2,1,1,1.0,247.95,0
50189,8.0,1,COD,Mobile Phone,1,0,2,4.0,195.97,0
50190,3.0,3,Debit Card,Fashion,2,1,4,3.0,228.44,0
50191,1.0,1,Credit Card,Fashion,5,1,1,12.0,158.88,1
50192,23.0,1,E wallet,Fashion,4,0,3,3.0,188.09,0
50193,23.0,1,E wallet,Laptop & Accessory,3,0,3,5.0,157.22,0
50194,10.0,1,Credit Card,Grocery,5,1,2,2.0,68.09,0
50195,4.0,3,Credit Card,Mobile Phone,4,0,7,2.0,177.19,0
50196,4.0,1,Debit Card,Laptop & Accessory,3,0,3,1.0,176.92,0
50197,13.0,1,Credit Card,Fashion,1,0,1,4.0,217.48,0
50198,23.0,1,UPI,Mobile Phone,4,1,1,4.0,111.1,1
50199,22.0,3,UPI,Laptop & Accessory,3,0,1,3.0,166.76,0
50200,15.0,3,E wallet,Others,3,0,3,4.0,149.53,0
50201,10.0,1,Debit Card,Mobile Phone,3,0,3,4.0,55.67,1
50202,1.0,1,E wallet,Mobile Phone,1,0,1,1.0,161.77,0
50203,2.0,1,Debit Card,Mobile Phone,4,1,1,2.0,223.26,0
50204,23.0,1,Debit Card,Laptop & Accessory,2,0,3,10.0,142.34,0
50205,9.0,2,Credit Card,Others,3,0,4,3.0,185.77,1
50206,0.0,1,Debit Card,Fashion,1,1,4,2.0,192.89,1
50207,1.0,1,COD,Mobile Phone,4,1,1,0.0,184.67,0
50208,11.0,2,Credit Card,Fashion,3,0,3,4.0,150.99,0
50209,0.0,1,Credit Card,Grocery,4,0,4,5.0,195.44,0
50210,2.0,3,Credit Card,Fashion,1,0,5,4.0,176.45,0
50211,8.0,1,E wallet,Laptop & Accessory,3,0,1,8.0,126.4,1
50212,12.0,1,Credit Card,Fashion,2,1,4,2.0,195.9,0
50213,11.0,3,Debit Card,Mobile Phone,4,0,3,0.0,222.66,0
50214,3.0,1,E wallet,Others,2,0,6,4.0,141.78,1
50215,12.0,2,Debit Card,Fashion,4,0,1,1.0,206.29,0
50216,3.0,1,Debit Card,Laptop & Accessory,2,0,4,1.0,278.44,0
50217,4.0,1,Credit Card,Laptop & Accessory,5,1,1,5.0,231.97,0
50218,14.0,2,Debit Card,Mobile Phone,3,0,2,4.0,205.85,0
50219,10.0,1,COD,Fashion,2,0,4,10.0,197.25,0
50220,19.0,3,Credit Card,Laptop & Accessory,1,0,1,7.0,145.47,0
50221,11.0,1,COD,Fashion,3,0,1,3.0,147.98,0
50222,8.0,1,Debit Card,Fashion,5,0,2,2.0,198.33,0
50223,1.0,1,COD,Laptop & Accessory,2,0,4,19.0,179.15,1
50224,5.0,1,Debit Card,Fashion,4,0,3,6.0,264.85,0
50225,3.0,1,Debit Card,Laptop & Accessory,3,0,1,23.0,118.95,0
50226,3.0,1,Debit Card,Laptop & Accessory,5,1,1,4.0,130.28,1
50227,36.0,1,Credit Card,Laptop & Accessory,5,1,1,1.0,107.68,0
50228,5.0,1,Debit Card,Fashion,5,0,3,6.0,251.66,0
50229,22.0,2,Credit Card,Others,1,0,1,12.0,95.51,0
50230,10.0,1,Debit Card,Fashion,4,1,1,5.0,165.76,1
50231,16.0,3,Debit Card,Laptop & Accessory,1,0,3,3.0,149.18,0
50232,7.0,1,Credit Card,Laptop & Accessory,3,1,5,1.0,60.15,0
50233,9.0,1,Debit Card,Mobile Phone,4,0,2,6.0,108.18,0
50234,7.0,2,E wallet,Laptop & Accessory,3,0,6,2.0,160.16,0
50235,2.0,1,Credit Card,Fashion,4,0,1,3.0,168.36,0
50236,13.0,1,UPI,Laptop & Accessory,5,0,2,6.0,209.73,0
50237,3.0,1,Debit Card,Laptop & Accessory,5,1,2,3.0,172.5,0
50238,0.0,1,COD,Laptop & Accessory,3,0,5,4.0,149.71,0
50239,10.0,1,Credit Card,Fashion,4,0,1,1.0,215.63,0
50240,2.0,3,COD,Laptop & Accessory,1,0,5,9.0,252.4,0
50241,28.0,1,Debit Card,Laptop & Accessory,3,0,1,1.0,111.15,0
50242,31.0,3,E wallet,Mobile Phone,4,0,2,1.0,161.26,0
50243,25.0,2,E wallet,Mobile Phone,4,1,3,0.0,249.43,0
50244,5.0,1,Debit Card,Others,5,0,2,6.0,148.89,0
50245,0.0,1,Credit Card,Laptop & Accessory,3,0,2,13.0,154.15,0
50246,26.0,3,E wallet,Laptop & Accessory,5,0,4,0.0,318.08,0
50247,6.0,3,Credit Card,Mobile Phone,4,0,2,1.0,195.46,0
50248,34.0,1,Debit Card,Laptop & Accessory,1,0,3,2.0,173.38,0
50249,33.0,1,Credit Card,Mobile Phone,3,0,3,2.0,236.96,0
50250,19.0,1,Debit Card,Laptop & Accessory,3,0,3,5.0,218.39,0
50251,3.0,1,E wallet,Grocery,3,0,1,0.0,314.92,0
50252,5.0,1,Debit Card,Laptop & Accessory,2,0,2,4.0,236.58,0
50253,19.0,3,Debit Card,Fashion,4,0,1,4.0,129.48,0
50254,4.0,1,Debit Card,Others,2,1,7,0.0,141.88,0
50255,2.0,2,Credit Card,Others,5,1,1,2.0,206.42,0
50256,8.0,1,COD,Mobile Phone,5,0,3,13.0,230.02,0
50257,28.0,1,Debit Card,Others,3,0,5,1.0,238.96,0
50258,12.0,1,Debit Card,Fashion,1,0,3,13.0,215.43,0
50259,8.0,2,Debit Card,Laptop & Accessory,4,0,2,7.0,178.84,0
50260,1.0,3,E wallet,Grocery,4,0,1,1.0,219.11,1
50261,10.0,2,Credit Card,Mobile Phone,5,1,3,0.0,281.71,0
50262,46.0,1,Debit Card,Laptop & Accessory,1,0,4,3.0,196.05,0
50263,2.0,1,Credit Card,Fashion,4,1,4,5.0,202.8,0
50264,7.0,1,Debit Card,Mobile Phone,4,0,2,1.0,190.18,0
50265,21.0,1,Credit Card,Grocery,2,0,2,0.0,164.71,0
50266,14.0,2,Debit Card,Fashion,2,0,6,0.0,201.78,0
50267,12.0,1,E wallet,Laptop & Accessory,4,1,3,7.0,230.92,0
50268,12.0,3,UPI,Laptop & Accessory,3,1,4,7.0,156.91,0
50269,4.0,1,E wallet,Fashion,5,0,5,5.0,154.12,0
50270,3.0,2,Credit Card,Mobile Phone,5,0,2,6.0,209.01,0
50271,17.0,3,Credit Card,Laptop & Accessory,4,0,1,2.0,164.63,0
50272,17.0,1,Debit Card,Laptop & Accessory,4,1,2,1.0,301.51,0
50273,20.0,3,E wallet,Laptop & Accessory,2,0,3,1.0,212.07,0
50274,24.0,1,Credit Card,Mobile Phone,5,0,3,2.0,192.44,0
50275,7.0,1,UPI,Laptop & Accessory,3,0,5,2.0,254.45,0
50276,7.0,3,Debit Card,Laptop & Accessory,3,0,4,12.0,145.73,0
50277,16.0,3,E wallet,Mobile Phone,5,0,5,2.0,271.76,0
50278,10.0,1,Credit Card,Laptop & Accessory,1,0,1,3.0,286.92,0
50279,12.0,1,Debit Card,Laptop & Accessory,3,0,1,3.0,186.6,0
50280,16.0,2,Credit Card,Grocery,4,1,4,7.0,189.78,1
50281,22.0,3,UPI,Fashion,2,0,2,0.0,152.18,0
50282,4.0,1,UPI,Laptop & Accessory,1,0,2,3.0,64.08,0
50283,5.0,3,E wallet,Grocery,3,0,3,10.0,216.67,0
50284,1.0,1,Debit Card,Laptop & Accessory,3,1,3,10.0,53.11,0
50285,9.0,1,UPI,Mobile Phone,3,1,3,7.0,189.07,0
50286,0.0,1,Credit Card,Laptop & Accessory,5,0,5,3.0,177.98,0
50287,6.0,1,Debit Card,Fashion,3,0,5,1.0,212.74,0
50288,8.0,3,Debit Card,Laptop & Accessory,3,1,2,0.0,84.78,0
50289,3.0,1,Debit Card,Laptop & Accessory,2,0,1,3.0,305.78,1
50290,9.0,3,Debit Card,Mobile Phone,1,0,1,10.0,213.98,0
50291,0.0,1,E wallet,Fashion,3,0,5,2.0,162.16,0
50292,0.0,2,Debit Card,Mobile Phone,3,0,1,4.0,191.28,0
50293,17.0,3,Debit Card,Fashion,4,0,2,2.0,220.22,0
50294,4.0,2,Debit Card,Mobile Phone,3,0,5,3.0,72.58,0
50295,1.0,1,Credit Card,Fashion,3,1,5,1.0,168.06,0
50296,7.0,1,Debit Card,Mobile Phone,4,0,1,6.0,150.9,0
50297,15.0,3,Debit Card,Laptop & Accessory,3,0,4,0.0,126.54,0
50298,2.0,3,Debit Card,Grocery,2,0,7,18.0,160.05,1
50299,10.0,1,Credit Card,Grocery,5,0,4,2.0,170.2,0
50300,1.0,3,Debit Card,Others,3,0,1,2.0,194.83,0
50301,1.0,1,Credit Card,Mobile Phone,2,0,2,4.0,212.12,0
50302,8.0,1,Debit Card,Fashion,4,1,1,12.0,188.7,0
50303,8.0,3,Debit Card,Grocery,5,0,6,11.0,133.16,0
50304,10.0,1,Debit Card,Laptop & Accessory,4,0,4,13.0,174.42,0
50305,13.0,3,Debit Card,Grocery,4,0,1,0.0,95.84,0
50306,37.0,1,Debit Card,Laptop & Accessory,3,0,6,1.0,165.94,0
50307,7.0,1,Debit Card,Laptop & Accessory,4,0,1,0.0,134.96,0
50308,4.0,1,Debit Card,Laptop & Accessory,4,1,1,0.0,250.49,0
50309,16.0,1,E wallet,Mobile Phone,4,0,3,1.0,199.2,0
50310,3.0,2,Debit Card,Laptop & Accessory,4,1,4,1.0,219.8,0
50311,6.0,1,UPI,Laptop & Accessory,2,0,2,2.0,166.59,0
50312,1.0,1,E wallet,Fashion,1,0,4,3.0,215.01,1
50313,0.0,1,E wallet,Mobile Phone,5,1,4,2.0,205.84,0
50314,33.0,1,Debit Card,Grocery,5,1,3,3.0,203.16,0
50315,18.0,2,E wallet,Laptop & Accessory,4,1,3,10.0,206.61,1
50316,12.0,1,Debit Card,Laptop & Accessory,3,0,4,9.0,251.4,0
50317,5.0,1,Debit Card,Laptop & Accessory,2,0,4,16.0,200.28,1
50318,2.0,3,Debit Card,Mobile Phone,3,0,2,8.0,144.22,0
50319,2.0,2,UPI,Laptop & Accessory,4,0,1,9.0,181.18,0
50320,3.0,3,Debit Card,Laptop & Accessory,3,0,3,6.0,245.12,1
50321,8.0,1,UPI,Mobile Phone,4,0,2,1.0,188.63,0
50322,13.0,1,Debit Card,Grocery,4,0,5,14.0,149.29,0
50323,11.0,3,UPI,Laptop & Accessory,4,1,2,1.0,154.32,0
50324,3.0,2,UPI,Mobile Phone,5,0,2,6.0,154.66,0
50325,31.0,1,UPI,Laptop & Accessory,5,0,3,1.0,223.92,0
50326,13.0,2,Credit Card,Laptop & Accessory,4,0,1,0.0,145.28,0
50327,8.0,1,UPI,Laptop & Accessory,2,0,2,1.0,226.76,0
50328,9.0,1,COD,Mobile Phone,5,1,2,1.0,209.78,1
50329,5.0,2,Debit Card,Mobile Phone,2,0,3,2.0,309.87,0
50330,3.0,2,Credit Card,Grocery,3,1,1,0.0,236.2,0
50331,4.0,1,E wallet,Grocery,5,0,1,4.0,132.52,0
50332,14.0,3,Debit Card,Mobile Phone,2,0,1,8.0,287.31,1
50333,0.0,1,E wallet,Laptop & Accessory,4,1,1,7.0,214.92,0
50334,1.0,1,Debit Card,Fashion,3,0,3,9.0,171.91,0
50335,0.0,3,Credit Card,Fashion,4,0,1,19.0,218.12,0
50336,0.0,2,Debit Card,Fashion,5,0,5,27.0,262.33,0
50337,19.0,1,Debit Card,Laptop & Accessory,5,0,3,3.0,203.62,0
50338,12.0,1,Debit Card,Fashion,3,0,2,3.0,114.85,0
50339,6.0,1,E wallet,Grocery,1,0,4,3.0,279.08,0
50340,1.0,2,Debit Card,Mobile Phone,5,1,4,5.0,119.08,0
50341,7.0,1,E wallet,Fashion,4,1,3,1.0,232.42,0
50342,6.0,3,E wallet,Fashion,2,0,3,7.0,222.94,0
50343,2.0,3,Credit Card,Mobile Phone,4,1,2,1.0,234.15,0
50344,6.0,3,Debit Card,Fashion,1,0,5,15.0,131.12,1
50345,5.0,1,Debit Card,Fashion,2,0,5,1.0,231.15,0
50346,10.0,2,Credit Card,Grocery,4,0,8,7.0,207.38,0
50347,10.0,1,Debit Card,Grocery,3,0,1,3.0,131.5,0
50348,0.0,1,Credit Card,Mobile Phone,3,0,2,5.0,166.3,0
50349,5.0,1,COD,Laptop & Accessory,4,0,4,2.0,236.41,1
50350,10.0,1,Debit Card,Laptop & Accessory,5,0,2,1.0,224.36,0
50351,7.0,3,Credit Card,Others,4,0,3,14.0,156.7,1
50352,19.0,1,COD,Laptop & Accessory,3,0,3,4.0,212.59,0
50353,11.0,1,UPI,Laptop & Accessory,4,0,2,2.0,200.4,0
50354,2.0,3,UPI,Mobile Phone,4,0,1,5.0,200.85,1
50355,1.0,1,E wallet,Laptop & Accessory,4,0,4,1.0,166.11,0
50356,10.0,2,Debit Card,Mobile Phone,3,0,2,0.0,163.9,0
50357,0.0,1,UPI,Fashion,2,0,4,8.0,177.74,0
50358,9.0,1,UPI,Laptop & Accessory,4,0,2,27.0,97.44,0
50359,28.0,3,Credit Card,Fashion,2,0,3,16.0,154.23,0
50360,9.0,1,Debit Card,Fashion,3,0,1,11.0,150.94,0
50361,5.0,1,Credit Card,Mobile Phone,2,0,6,7.0,151.53,0
50362,10.0,1,Debit Card,Laptop & Accessory,3,1,2,1.0,156.36,0
50363,6.0,1,Debit Card,Grocery,3,0,5,1.0,256.3,0
50364,8.0,1,Credit Card,Mobile Phone,5,0,4,1.0,114.17,0
50365,28.0,1,Credit Card,Laptop & Accessory,4,1,3,3.0,100.02,0
