customer_id,tenure,city_tier,warehouse_to_home,hour_spend_on_app,number_of_device_registered,satisfaction_score,number_of_address,complain,order_amount_hike_from_last_year,coupon_used,order_count,day_since_last_order,cashback_amount,churn,ingested_at,recency_days,frequency_orders,monetary_cashback,r_score,f_score,m_score,preferred_login_device_Mobile Phone,preferred_login_device_Phone,preferred_payment_mode_Credit Card,preferred_payment_mode_Debit Card,preferred_payment_mode_E wallet,preferred_payment_mode_UPI,gender_Male,prefered_order_cat_Grocery,prefered_order_cat_Laptop & Accessory,prefered_order_cat_Mobile Phone,prefered_order_cat_Others,marital_status_Married,marital_status_Single,rfm_segment_Champions,rfm_segment_Hibernating,rfm_segment_Loyal Customers,rfm_segment_Need Attention,rfm_segment_Potential Loyalist,rfm_segment_Promising
50011,0.0,1,11.0,2,5,4,7,0,13.0,2,3,4.0,186.57,0,2026-09-09 16:06:02.022715,4.0,3,186.57,3,3,3,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
50012,35.0,1,7.0,3,2,5,7,0,17.0,4,2,9.0,70.02,0,2026-09-09 16:06:02.022715,9.0,2,70.02,1,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
50013,18.0,1,5.0,3,3,5,1,0,14.0,3,2,1.0,159.53,0,2026-09-09 16:06:02.022715,1.0,2,159.53,5,1,2,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
50014,2.0,1,14.0,1,6,4,6,0,14.0,3,5,6.0,107.55,0,2026-09-09 16:06:02.022715,6.0,5,107.55,2,5,1,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
50015,2.0,1,16.0,3,2,1,7,0,18.0,0,4,3.0,114.44,0,2026-09-09 16:06:02.022715,3.0,4,114.44,4,4,1,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
50016,2.0,1,10.0,3,4,4,3,0,14.0,3,2,1.0,148.14,0,2026-09-09 16:06:02.022715,1.0,2,148.14,5,1,2,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50017,4.0,1,5.0,3,3,4,2,0,14.0,6,6,3.0,201.45,0,2026-09-09 16:06:02.022715,3.0,6,201.45,4,5,4,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
50018,7.0,1,19.0,3,3,2,5,0,12.0,2,3,10.0,209.59,0,2026-09-09 16:06:02.022715,10.0,3,209.59,1,3,4,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False
50019,6.0,3,10.0,2,5,5,5,0,19.0,1,3,1.0,218.13,0,2026-09-09 16:06:02.022715,1.0,3,218.13,5,3,5,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
50020,3.0,2,5.0,3,4,1,5,0,18.0,4,1,5.0,126.6,1,2026-09-09 16:06:02.022715,5.0,1,126.6,3,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
50021,9.0,1,11.0,4,4,3,5,0,16.0,2,4,7.0,220.36,0,2026-09-09 16:06:02.022715,7.0,4,220.36,2,4,5,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
50022,2.0,1,19.0,4,4,1,8,1,15.0,2,2,2.0,150.08,1,2026-09-09 16:06:02.022715,2.0,2,150.08,4,1,2,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
50023,3.0,3,9.0,4,3,5,4,0,19.0,2,4,2.0,214.8,0,2026-09-09 16:06:02.022715,2.0,4,214.8,4,4,4,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
50024,5.0,1,5.0,3,4,1,4,0,11.0,3,2,6.0,183.74,0,2026-09-09 16:06:02.022715,6.0,2,183.74,2,1,3,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
50025,6.0,3,9.0,3,6,3,4,0,19.0,1,1,0.0,261.6,0,2026-09-09 16:06:02.022715,0.0,1,261.6,5,1,5,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
50026,15.0,1,7.0,3,6,5,6,0,17.0,0,4,4.0,142.7,0,2026-09-09 16:06:02.022715,4.0,4,142.7,3,4,2,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False
50027,2.0,3,12.0,4,4,3,7,1,11.0,3,1,11.0,170.74,0,2026-09-09 16:06:02.022715,11.0,1,170.74,1,1,3,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
50028,7.0,1,11.0,4,3,2,4,0,11.0,2,3,5.0,242.89,0,2026-09-09 16:06:02.022715,5.0,3,242.89,3,3,5,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
50029,9.0,1,8.0,3,2,2,7,1,13.0,2,2,2.0,179.38,1,2026-09-09 16:06:02.022715,2.0,2,179.38,4,1,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
50030,0.0,2,8.0,2,1,3,3,1,15.0,1,3,7.0,144.64,0,2026-09-09 16:06:02.022715,7.0,3,144.64,2,3,2,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
50031,9.0,1,22.0,3,3,3,3,1,18.0,0,2,2.0,168.3,0,2026-09-09 16:06:02.022715,2.0,2,168.3,4,1,3,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
50032,2.0,1,15.0,2,3,4,5,0,18.0,2,3,1.0,263.48,0,2026-09-09 16:06:02.022715,1.0,3,263.48,5,3,5,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
50033,1.0,1,14.0,5,2,2,11,0,17.0,2,5,0.0,105.28,0,2026-09-09 16:06:02.022715,0.0,5,105.28,5,5,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
50034,30.0,2,18.0,2,3,4,5,1,18.0,3,3,10.0,164.24,0,2026-09-09 16:06:02.022715,10.0,3,164.24,1,3,3,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
50035,34.0,1,10.0,2,2,5,7,1,20.0,3,1,5.0,221.32,0,2026-09-09 16:06:02.022715,5.0,1,221.32,3,1,5,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
50036,17.0,1,26.0,4,3,5,1,1,22.0,2,3,3.0,176.99,0,2026-09-09 16:06:02.022715,3.0,3,176.99,4,3,3,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
50037,4.0,1,13.0,2,2,4,5,0,13.0,3,3,5.0,254.33,0,2026-09-09 16:06:02.022715,5.0,3,254.33,3,3,5,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
50038,1.0,1,12.0,2,4,5,7,1,15.0,4,2,1.0,152.63,0,2026-09-09 16:06:02.022715,1.0,2,152.63,5,1,2,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
50039,12.0,2,13.0,3,3,5,3,0,11.0,3,9,0.0,196.89,0,2026-09-09 16:06:02.022715,0.0,9,196.89,5,5,4,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False
50040,6.0,1,9.0,3,4,4,3,1,15.0,1,2,8.0,247.43,1,2026-09-09 16:06:02.022715,8.0,2,247.43,2,1,5,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
50041,1.0,1,7.0,3,5,3,5,0,12.0,0,5,12.0,231.58,0,2026-09-09 16:06:02.022715,12.0,5,231.58,1,5,5,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
50042,7.0,1,20.0,3,2,5,4,0,20.0,2,2,1.0,102.64,0,2026-09-09 16:06:02.022715,1.0,2,102.64,5,1,1,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
50043,0.0,1,5.0,2,6,5,6,0,15.0,3,3,3.0,239.62,0,2026-09-09 16:06:02.022715,3.0,3,239.62,4,3,5,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
50044,24.0,1,5.0,3,4,1,4,1,11.0,0,1,12.0,179.29,0,2026-09-09 16:06:02.022715,12.0,1,179.29,1,1,3,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
50045,3.0,1,10.0,3,2,5,2,0,13.0,2,2,8.0,137.51,0,2026-09-09 16:06:02.022715,8.0,2,137.51,2,1,2,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False
50046,11.0,1,6.0,4,3,3,4,0,14.0,0,5,3.0,146.85,0,2026-09-09 16:06:02.022715,3.0,5,146.85,4,5,2,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
50047,4.0,3,5.0,3,5,3,3,0,11.0,1,2,1.0,140.15,0,2026-09-09 16:06:02.022715,1.0,2,140.15,5,1,2,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
50048,7.0,1,5.0,3,4,3,3,1,15.0,2,2,2.0,131.84,1,2026-09-09 16:06:02.022715,2.0,2,131.84,4,1,1,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
50049,8.0,2,6.0,3,3,3,3,0,19.0,3,2,8.0,235.67,0,2026-09-09 16:06:02.022715,8.0,2,235.67,2,1,5,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
50050,2.0,1,14.0,2,5,3,3,1,11.0,1,3,1.0,275.43,0,2026-09-09 16:06:02.022715,1.0,3,275.43,5,3,5,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
50051,35.0,1,10.0,2,4,4,6,1,16.0,6,3,13.0,180.53,0,2026-09-09 16:06:02.022715,13.0,3,180.53,1,3,3,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
50052,15.0,1,18.0,4,4,3,6,1,11.0,2,3,2.0,251.47,0,2026-09-09 16:06:02.022715,2.0,3,251.47,4,3,5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
50053,28.0,1,5.0,2,5,3,8,0,18.0,0,4,10.0,236.74,0,2026-09-09 16:06:02.022715,10.0,4,236.74,1,4,5,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
50054,23.0,3,6.0,3,4,4,5,0,11.0,2,2,3.0,123.53,0,2026-09-09 16:06:02.022715,3.0,2,123.53,3,1,1,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
50055,9.0,3,12.0,2,3,1,11,0,20.0,1,2,4.0,166.48,0,2026-09-09 16:06:02.022715,4.0,2,166.48,3,1,3,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50056,25.0,2,7.0,4,4,5,6,0,18.0,4,3,8.0,233.66,0,2026-09-09 16:06:02.022715,8.0,3,233.66,2,3,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
50057,1.0,1,9.0,5,4,4,1,1,17.0,1,6,2.0,232.0,0,2026-09-09 16:06:02.022715,2.0,6,232.0,4,5,5,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
50058,2.0,1,5.0,3,2,4,6,0,14.0,0,2,0.0,130.82,0,2026-09-09 16:06:02.022715,0.0,2,130.82,5,1,1,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50059,0.0,1,5.0,3,2,3,2,0,12.0,0,2,1.0,112.37,0,2026-09-09 16:06:02.022715,1.0,2,112.37,5,1,1,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
50060,4.0,3,7.0,3,2,5,2,0,16.0,1,2,2.0,214.05,0,2026-09-09 16:06:02.022715,2.0,2,214.05,4,1,4,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50061,5.0,1,19.0,4,2,1,5,0,15.0,1,2,16.0,143.79,0,2026-09-09 16:06:02.022715,16.0,2,143.79,1,1,2,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False
50062,3.0,1,5.0,1,2,1,3,1,16.0,2,6,13.0,176.93,1,2026-09-09 16:06:02.022715,13.0,6,176.93,1,5,3,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
50063,18.0,1,20.0,3,4,5,2,0,12.0,2,6,16.0,153.03,0,2026-09-09 16:06:02.022715,16.0,6,153.03,1,5,2,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
50064,4.0,1,18.0,3,4,4,5,0,20.0,2,4,11.0,146.6,0,2026-09-09 16:06:02.022715,11.0,4,146.6,1,4,2,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
50065,3.0,3,8.0,3,2,3,9,0,21.0,0,1,7.0,175.29,1,2026-09-09 16:06:02.022715,7.0,1,175.29,2,1,3,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
50066,8.0,1,11.0,2,4,4,4,0,14.0,3,7,0.0,203.57,0,2026-09-09 16:06:02.022715,0.0,7,203.57,5,5,4,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False
50067,2.0,1,13.0,2,4,3,1,1,15.0,3,3,3.0,286.77,0,2026-09-09 16:06:02.022715,3.0,3,286.77,3,3,5,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False
50068,16.0,1,16.0,4,3,3,4,0,15.0,4,3,17.0,130.3,0,2026-09-09 16:06:02.022715,17.0,3,130.3,1,3,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50069,1.0,3,6.0,2,3,4,2,0,16.0,3,7,1.0,144.47,1,2026-09-09 16:06:02.022715,1.0,7,144.47,5,5,2,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
50070,43.0,1,17.0,3,3,5,6,1,12.0,3,3,7.0,149.17,0,2026-09-09 16:06:02.022715,7.0,3,149.17,2,3,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
50071,15.0,3,12.0,3,4,5,8,0,17.0,1,4,7.0,196.96,0,2026-09-09 16:06:02.022715,7.0,4,196.96,2,4,4,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
50072,2.0,1,6.0,2,3,5,4,0,11.0,2,3,1.0,132.75,0,2026-09-09 16:06:02.022715,1.0,3,132.75,5,3,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
50073,0.0,3,12.0,3,3,3,2,1,16.0,4,3,13.0,196.71,1,2026-09-09 16:06:02.022715,13.0,3,196.71,1,3,4,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
50074,17.0,2,6.0,4,1,3,7,1,11.0,3,7,1.0,75.14,1,2026-09-09 16:06:02.022715,1.0,7,75.14,5,5,1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
50075,12.0,1,11.0,3,5,4,4,1,17.0,2,5,14.0,120.54,0,2026-09-09 16:06:02.022715,14.0,5,120.54,1,5,1,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
50076,13.0,1,8.0,4,4,4,4,0,16.0,2,6,5.0,169.15,0,2026-09-09 16:06:02.022715,5.0,6,169.15,3,5,3,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
50077,15.0,1,12.0,3,3,3,4,0,13.0,4,3,0.0,137.81,0,2026-09-09 16:06:02.022715,0.0,3,137.81,5,3,2,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
50078,1.0,1,12.0,3,5,4,4,1,17.0,3,5,5.0,217.59,1,2026-09-09 16:06:02.022715,5.0,5,217.59,3,5,5,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
50079,4.0,3,22.0,3,3,4,1,1,21.0,3,1,4.0,165.86,1,2026-09-09 16:06:02.022715,4.0,1,165.86,3,1,3,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
50080,1.0,1,15.0,4,4,5,2,0,21.0,0,4,5.0,139.54,0,2026-09-09 16:06:02.022715,5.0,4,139.54,3,4,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
50081,20.0,1,14.0,3,3,2,2,1,17.0,6,5,4.0,168.65,1,2026-09-09 16:06:02.022715,4.0,5,168.65,3,5,3,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
50082,10.0,1,5.0,3,3,4,1,0,17.0,2,4,5.0,202.32,0,2026-09-09 16:06:02.022715,5.0,4,202.32,3,4,4,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
50083,4.0,1,19.0,3,4,3,3,0,19.0,1,3,4.0,233.52,0,2026-09-09 16:06:02.022715,4.0,3,233.52,3,3,5,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
50084,1.0,3,9.0,3,4,2,10,0,18.0,1,2,9.0,209.39,0,2026-09-09 16:06:02.022715,9.0,2,209.39,1,1,4,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
50085,4.0,1,5.0,2,3,3,4,0,12.0,4,3,5.0,203.72,0,2026-09-09 16:06:02.022715,5.0,3,203.72,3,3,4,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
50086,4.0,3,31.0,2,2,1,4,0,17.0,6,1,2.0,255.22,0,2026-09-09 16:06:02.022715,2.0,1,255.22,4,1,5,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False
50087,13.0,3,7.0,3,3,3,3,1,14.0,2,4,0.0,100.54,0,2026-09-09 16:06:02.022715,0.0,4,100.54,5,4,1,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
50088,10.0,1,23.0,2,4,1,4,1,22.0,1,1,3.0,182.7,0,2026-09-09 16:06:02.022715,3.0,1,182.7,3,1,3,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
50089,22.0,1,13.0,3,2,5,1,0,18.0,0,1,5.0,169.54,0,2026-09-09 16:06:02.022715,5.0,1,169.54,3,1,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
50090,6.0,3,15.0,4,4,2,2,1,14.0,2,2,1.0,188.71,1,2026-09-09 16:06:02.022715,1.0,2,188.71,5,1,4,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
50091,1.0,1,11.0,3,5,5,7,1,14.0,0,2,18.0,155.9,0,2026-09-09 16:06:02.022715,18.0,2,155.9,1,1,2,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False
50092,12.0,1,6.0,2,2,5,6,0,11.0,2,5,22.0,170.42,0,2026-09-09 16:06:02.022715,22.0,5,170.42,1,5,3,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
50093,14.0,1,16.0,4,5,3,8,1,16.0,4,4,3.0,210.0,0,2026-09-09 16:06:02.022715,3.0,4,210.0,3,4,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
50094,8.0,1,13.0,2,2,1,5,0,13.0,3,6,17.0,220.95,1,2026-09-09 16:06:02.022715,17.0,6,220.95,1,5,5,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
50095,15.0,2,12.0,3,4,4,5,0,16.0,0,5,7.0,165.45,0,2026-09-09 16:06:02.022715,7.0,5,165.45,2,5,3,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
50096,7.0,1,11.0,3,4,2,1,0,25.0,3,1,5.0,111.53,0,2026-09-09 16:06:02.022715,5.0,1,111.53,3,1,1,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
50097,7.0,1,9.0,2,3,2,5,0,15.0,4,2,7.0,236.28,0,2026-09-09 16:06:02.022715,7.0,2,236.28,2,1,5,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
50098,6.0,3,17.0,2,3,4,5,0,11.0,1,5,6.0,145.48,1,2026-09-09 16:06:02.022715,6.0,5,145.48,2,5,2,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
50099,0.0,2,15.0,2,5,3,5,0,14.0,4,1,9.0,115.47,0,2026-09-09 16:06:02.022715,9.0,1,115.47,1,1,1,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
50100,1.0,1,18.0,2,1,4,5,1,15.0,1,4,0.0,194.37,0,2026-09-09 16:06:02.022715,0.0,4,194.37,5,4,4,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
50101,0.0,2,10.0,2,4,4,8,0,14.0,3,3,12.0,195.87,0,2026-09-09 16:06:02.022715,12.0,3,195.87,1,3,4,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
50102,10.0,1,9.0,5,3,5,8,0,16.0,2,3,1.0,244.66,0,2026-09-09 16:06:02.022715,1.0,3,244.66,5,3,5,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
50103,4.0,2,8.0,3,3,1,3,1,15.0,1,2,4.0,164.02,0,2026-09-09 16:06:02.022715,4.0,2,164.02,3,1,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
50104,7.0,1,12.0,4,3,2,3,1,17.0,0,3,10.0,190.02,1,2026-09-09 16:06:02.022715,10.0,3,190.02,1,3,4,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
50105,24.0,1,5.0,3,3,4,1,0,16.0,3,2,2.0,195.36,0,2026-09-09 16:06:02.022715,2.0,2,195.36,4,1,4,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
50106,3.0,2,40.0,3,3,5,4,0,21.0,3,3,22.0,159.47,0,2026-09-09 16:06:02.022715,22.0,3,159.47,1,3,2,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
50107,5.0,1,7.0,2,4,5,7,0,18.0,0,1,1.0,157.56,0,2026-09-09 16:06:02.022715,1.0,1,157.56,5,1,2,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50108,14.0,3,21.0,2,1,4,5,1,19.0,5,4,1.0,238.58,0,2026-09-09 16:06:02.022715,1.0,4,238.58,5,4,5,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
50109,3.0,1,8.0,3,1,4,4,1,12.0,3,3,4.0,152.37,1,2026-09-09 16:06:02.022715,4.0,3,152.37,3,3,2,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
50110,1.0,3,15.0,4,3,4,9,0,17.0,1,2,0.0,148.86,0,2026-09-09 16:06:02.022715,0.0,2,148.86,5,1,2,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False
50111,3.0,3,27.0,1,3,2,8,0,18.0,1,5,0.0,245.89,0,2026-09-09 16:06:02.022715,0.0,5,245.89,5,5,5,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False
50112,2.0,1,15.0,3,3,4,3,1,11.0,5,4,5.0,108.89,0,2026-09-09 16:06:02.022715,5.0,4,108.89,3,4,1,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
50113,27.0,2,26.0,2,4,3,4,0,13.0,0,7,3.0,212.01,0,2026-09-09 16:06:02.022715,3.0,7,212.01,3,5,4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
50114,17.0,1,21.0,3,3,3,4,0,16.0,3,3,6.0,230.02,0,2026-09-09 16:06:02.022715,6.0,3,230.02,2,3,5,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False
50115,10.0,3,6.0,3,3,5,2,0,16.0,2,3,16.0,115.26,0,2026-09-09 16:06:02.022715,16.0,3,115.26,1,3,1,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
50116,21.0,1,17.0,3,4,5,5,0,16.0,2,3,14.0,144.28,0,2026-09-09 16:06:02.022715,14.0,3,144.28,1,3,2,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
50117,16.0,2,14.0,2,6,1,3,1,15.0,1,1,7.0,156.05,0,2026-09-09 16:06:02.022715,7.0,1,156.05,2,1,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
50118,2.0,1,7.0,2,3,5,3,0,16.0,2,2,3.0,250.07,0,2026-09-09 16:06:02.022715,3.0,2,250.07,3,1,5,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
50119,22.0,1,20.0,3,4,2,6,0,14.0,3,1,3.0,206.18,0,2026-09-09 16:06:02.022715,3.0,1,206.18,3,1,4,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
