prefered_order_cat,city_tier,preferred_payment_mode,customer_count,churn_count,category_churn_rate_pct,predicted_avg_risk_pct,avg_tenure,complaint_rate_pct,avg_satisfaction
Mobile Phone,2,Debit Card,84,7,8.33,29.1,9.7,16.7,3.38
Mobile Phone,2,E wallet,29,4,13.79,26.4,10.4,24.1,3.62
Mobile Phone,2,UPI,28,1,3.57,25.51,9.4,21.4,3.29
Mobile Phone,3,COD,9,0,0.0,25.58,12.3,0.0,3.11
Mobile Phone,3,Credit Card,88,17,19.32,35.57,9.4,33.0,3.28
Mobile Phone,3,Debit Card,122,16,13.11,33.4,9.0,22.1,3.16
Mobile Phone,3,E wallet,45,4,8.89,28.71,9.9,28.9,3.29
Mobile Phone,3,UPI,27,4,14.81,32.18,9.8,22.2,3.19
Others,1,COD,15,0,0.0,25.77,7.0,20.0,3.13
Others,1,Credit Card,69,12,17.39,36.61,10.0,40.6,3.32
Others,1,Debit Card,101,17,16.83,35.59,10.0,28.7,3.25
Others,1,E wallet,37,5,13.51,31.24,9.1,27.0,3.38
Others,1,UPI,21,2,9.52,28.7,8.2,33.3,3.48
Others,2,COD,2,0,0.0,29.31,3.5,50.0,4.0
Others,2,Credit Card,20,4,20.0,33.0,13.2,45.0,2.65
Others,2,Debit Card,20,2,10.0,27.4,11.2,25.0,3.2
Others,2,E wallet,12,2,16.67,35.7,12.1,41.7,3.33
Others,2,UPI,7,1,14.29,18.16,11.4,14.3,3.57
Others,3,COD,3,1,33.33,37.62,7.0,33.3,3.0
Others,3,Credit Card,18,4,22.22,40.71,11.2,33.3,2.78
Others,3,Debit Card,35,8,22.86,38.68,10.4,17.1,3.23
Others,3,E wallet,10,1,10.0,36.71,10.2,40.0,2.5
Others,3,UPI,12,0,0.0,25.52,11.5,16.7,3.5
