customer_id,churn_risk_pct,risk_tier,tenure_months,satisfaction_score,complaint_status,prefered_order_cat,preferred_payment_mode,day_since_last_order,order_count,cashback_amount,rfm_segment,r_score,f_score,m_score,recommended_action
54072,89.88,High,11.0,3,Yes (Active Ticket),Mobile Phone,Credit Card,15.0,7,141.57,At Risk,1,5,2,URGENT: Support Escalation & Retention Credit
53711,89.84,High,0.0,2,Yes (Active Ticket),Mobile Phone,Credit Card,14.0,2,94.75,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
53201,89.65,High,8.0,1,Yes (Active Ticket),Laptop & Accessory,Credit Card,12.0,3,141.8,At Risk,1,3,2,URGENT: Support Escalation & Retention Credit
50953,89.58,High,2.0,4,Yes (Active Ticket),Laptop & Accessory,Debit Card,14.0,5,110.17,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
52492,89.55,High,2.0,2,Yes (Active Ticket),Laptop & Accessory,Credit Card,1.0,5,211.0,Champions,5,5,4,URGENT: Support Escalation & Retention Credit
54775,89.48,High,4.0,4,Yes (Active Ticket),Laptop & Accessory,Debit Card,4.0,2,126.84,Potential Loyalist,3,2,1,URGENT: Support Escalation & Retention Credit
55289,89.43,High,1.0,1,Yes (Active Ticket),Fashion,Debit Card,1.0,3,199.8,Champions,4,4,4,URGENT: Support Escalation & Retention Credit
55473,89.36,High,1.0,3,No,Mobile Phone,Debit Card,11.0,2,132.81,At Risk,1,3,1,Onboarding Outreach & Personal Discount
52743,89.32,High,2.0,3,Yes (Active Ticket),Laptop & Accessory,Credit Card,12.0,3,190.79,At Risk,1,3,4,URGENT: Support Escalation & Retention Credit
54977,89.31,High,1.0,1,Yes (Active Ticket),Laptop & Accessory,Credit Card,8.0,3,102.7,At Risk,1,4,1,URGENT: Support Escalation & Retention Credit
54352,89.28,High,9.0,2,Yes (Active Ticket),Fashion,Debit Card,5.0,2,154.46,Hibernating,2,2,2,URGENT: Support Escalation & Retention Credit
50223,89.23,High,1.0,2,No,Laptop & Accessory,COD,19.0,4,179.15,At Risk,1,4,3,Onboarding Outreach & Personal Discount
50455,89.21,High,1.0,2,Yes (Active Ticket),Laptop & Accessory,UPI,2.0,2,130.4,Potential Loyalist,4,2,1,URGENT: Support Escalation & Retention Credit
55346,89.2,High,8.0,5,Yes (Active Ticket),Laptop & Accessory,Credit Card,5.0,3,56.2,At Risk,2,4,1,URGENT: Support Escalation & Retention Credit
54196,89.09,High,2.0,3,Yes (Active Ticket),Mobile Phone,Debit Card,11.0,2,191.26,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
50073,89.03,High,0.0,3,Yes (Active Ticket),Others,Debit Card,13.0,3,196.71,At Risk,1,3,4,URGENT: Support Escalation & Retention Credit
50802,89.02,High,2.0,4,Yes (Active Ticket),Laptop & Accessory,Credit Card,7.0,2,143.28,Hibernating,2,2,2,URGENT: Support Escalation & Retention Credit
53554,89.0,High,7.0,2,Yes (Active Ticket),Mobile Phone,E wallet,3.0,2,148.84,Potential Loyalist,3,2,2,URGENT: Support Escalation & Retention Credit
50104,88.91,High,7.0,2,Yes (Active Ticket),Others,Debit Card,10.0,3,190.02,At Risk,1,3,4,URGENT: Support Escalation & Retention Credit
50298,88.87,High,2.0,2,No,Grocery,Debit Card,18.0,7,160.05,At Risk,1,5,2,Onboarding Outreach & Personal Discount
54113,88.87,High,1.0,4,Yes (Active Ticket),Laptop & Accessory,UPI,12.0,7,143.78,At Risk,1,5,2,URGENT: Support Escalation & Retention Credit
52995,88.83,High,1.0,3,No,Grocery,Debit Card,14.0,3,94.94,At Risk,1,3,1,Onboarding Outreach & Personal Discount
51664,88.81,High,7.0,1,No,Others,Debit Card,10.0,3,153.99,At Risk,1,3,2,Targeted Win-Back Campaign
52190,88.81,High,11.0,2,Yes (Active Ticket),Fashion,E wallet,9.0,2,128.71,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
52741,88.81,High,5.0,3,Yes (Active Ticket),Fashion,Debit Card,14.0,1,177.0,Promising,1,1,3,URGENT: Support Escalation & Retention Credit
55167,88.81,High,2.0,2,Yes (Active Ticket),Laptop & Accessory,Debit Card,13.0,2,166.54,Need Attention,1,2,3,URGENT: Support Escalation & Retention Credit
52538,88.77,High,2.0,4,Yes (Active Ticket),Others,E wallet,9.0,2,240.74,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
54295,88.71,High,5.0,1,Yes (Active Ticket),Mobile Phone,Debit Card,8.0,1,171.31,Promising,1,1,3,URGENT: Support Escalation & Retention Credit
53264,88.65,High,0.0,3,Yes (Active Ticket),Laptop & Accessory,Debit Card,3.0,2,59.25,Potential Loyalist,3,2,1,URGENT: Support Escalation & Retention Credit
52870,88.49,High,4.0,3,Yes (Active Ticket),Laptop & Accessory,Debit Card,11.0,4,149.64,At Risk,1,4,2,URGENT: Support Escalation & Retention Credit
50187,88.36,High,17.0,1,Yes (Active Ticket),Laptop & Accessory,Credit Card,4.0,2,95.76,Potential Loyalist,3,2,1,URGENT: Support Escalation & Retention Credit
54711,88.32,High,5.0,1,Yes (Active Ticket),Laptop & Accessory,UPI,9.0,8,179.26,At Risk,1,5,3,URGENT: Support Escalation & Retention Credit
52817,88.3,High,7.0,3,No,Laptop & Accessory,Credit Card,19.0,1,141.2,Hibernating,1,1,2,Targeted Win-Back Campaign
54915,88.29,High,2.0,1,Yes (Active Ticket),Laptop & Accessory,E wallet,5.0,6,134.99,At Risk,2,5,1,URGENT: Support Escalation & Retention Credit
52323,88.26,High,9.0,2,Yes (Active Ticket),Laptop & Accessory,Credit Card,3.0,5,97.36,Loyal Customers,3,5,1,URGENT: Support Escalation & Retention Credit
51837,88.2,High,1.0,2,No,Laptop & Accessory,UPI,26.0,3,254.82,At Risk,1,3,5,Onboarding Outreach & Personal Discount
54335,88.17,High,5.0,5,Yes (Active Ticket),Grocery,COD,11.0,2,240.65,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
53332,88.15,High,14.0,5,Yes (Active Ticket),Fashion,Debit Card,26.0,1,193.11,Promising,1,1,4,URGENT: Support Escalation & Retention Credit
53051,88.11,High,2.0,1,No,Mobile Phone,Credit Card,9.0,2,109.46,Hibernating,1,2,1,Onboarding Outreach & Personal Discount
53364,88.09,High,3.0,1,Yes (Active Ticket),Laptop & Accessory,Debit Card,9.0,2,195.42,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
55475,88.07,High,0.0,3,Yes (Active Ticket),Mobile Phone,Debit Card,10.0,1,126.69,Hibernating,1,1,1,URGENT: Support Escalation & Retention Credit
52578,88.02,High,9.0,4,Yes (Active Ticket),Laptop & Accessory,Credit Card,11.0,5,88.43,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
55054,87.98,High,1.0,2,No,Laptop & Accessory,Debit Card,18.0,1,195.94,Promising,1,1,4,Onboarding Outreach & Personal Discount
52048,87.97,High,12.0,2,Yes (Active Ticket),Grocery,Debit Card,14.0,4,152.58,At Risk,1,4,2,URGENT: Support Escalation & Retention Credit
50539,87.96,High,6.0,3,No,Laptop & Accessory,E wallet,23.0,6,217.8,At Risk,1,5,5,Onboarding Outreach & Personal Discount
50758,87.96,High,8.0,3,Yes (Active Ticket),Laptop & Accessory,E wallet,1.0,2,124.11,Potential Loyalist,5,2,1,URGENT: Support Escalation & Retention Credit
51103,87.94,High,22.0,1,Yes (Active Ticket),Mobile Phone,E wallet,25.0,3,128.16,At Risk,1,3,1,URGENT: Support Escalation & Retention Credit
52220,87.93,High,1.0,2,Yes (Active Ticket),Mobile Phone,Credit Card,1.0,2,119.42,Potential Loyalist,5,2,1,URGENT: Support Escalation & Retention Credit
50226,87.86,High,3.0,5,Yes (Active Ticket),Laptop & Accessory,Debit Card,4.0,1,130.28,Potential Loyalist,3,1,1,URGENT: Support Escalation & Retention Credit
53937,87.84,High,5.0,4,Yes (Active Ticket),Fashion,E wallet,9.0,5,70.88,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
52567,87.83,High,3.0,3,No,Laptop & Accessory,Credit Card,9.0,3,106.37,At Risk,1,3,1,Onboarding Outreach & Personal Discount
54184,87.81,High,4.0,4,Yes (Active Ticket),Fashion,Debit Card,0.0,1,98.88,Potential Loyalist,5,1,1,URGENT: Support Escalation & Retention Credit
54804,87.77,High,2.0,1,Yes (Active Ticket),Mobile Phone,Credit Card,2.0,2,221.49,Potential Loyalist,4,2,5,URGENT: Support Escalation & Retention Credit
52385,87.76,High,4.0,3,Yes (Active Ticket),Others,Debit Card,6.0,2,155.87,Hibernating,2,2,2,URGENT: Support Escalation & Retention Credit
53093,87.72,High,5.0,1,Yes (Active Ticket),Fashion,Credit Card,1.0,3,142.52,Loyal Customers,5,3,2,URGENT: Support Escalation & Retention Credit
51811,87.68,High,11.0,3,No,Fashion,UPI,27.0,3,173.17,At Risk,1,3,3,Targeted Win-Back Campaign
53951,87.68,High,0.0,4,No,Mobile Phone,Debit Card,16.0,2,129.87,Hibernating,1,2,1,Onboarding Outreach & Personal Discount
50438,87.62,High,17.0,3,Yes (Active Ticket),Fashion,Debit Card,14.0,2,271.86,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
53041,87.62,High,2.0,2,No,Laptop & Accessory,E wallet,9.0,2,98.75,Hibernating,1,2,1,Onboarding Outreach & Personal Discount
52308,87.58,High,10.0,4,Yes (Active Ticket),Laptop & Accessory,Debit Card,13.0,5,156.28,At Risk,1,5,2,URGENT: Support Escalation & Retention Credit
51415,87.57,High,8.0,3,Yes (Active Ticket),Mobile Phone,UPI,8.0,4,184.6,At Risk,2,4,3,URGENT: Support Escalation & Retention Credit
55278,87.55,High,4.0,3,Yes (Active Ticket),Others,Debit Card,12.0,3,232.47,At Risk,1,4,5,URGENT: Support Escalation & Retention Credit
52925,87.44,High,5.0,3,Yes (Active Ticket),Others,E wallet,11.0,3,236.24,At Risk,1,3,5,URGENT: Support Escalation & Retention Credit
51659,87.38,High,5.0,3,No,Laptop & Accessory,Credit Card,15.0,2,170.61,Need Attention,1,2,3,Onboarding Outreach & Personal Discount
53250,87.34,High,10.0,1,Yes (Active Ticket),Others,Credit Card,2.0,1,111.09,Potential Loyalist,4,1,1,URGENT: Support Escalation & Retention Credit
50206,87.29,High,0.0,1,Yes (Active Ticket),Fashion,Debit Card,2.0,4,192.89,Champions,4,4,4,URGENT: Support Escalation & Retention Credit
50554,87.27,High,8.0,2,Yes (Active Ticket),Laptop & Accessory,E wallet,2.0,2,165.97,Potential Loyalist,4,2,3,URGENT: Support Escalation & Retention Credit
50469,87.22,High,3.0,5,Yes (Active Ticket),Fashion,Debit Card,10.0,1,162.33,Hibernating,1,1,2,URGENT: Support Escalation & Retention Credit
53252,87.21,High,1.0,5,Yes (Active Ticket),Grocery,Debit Card,3.0,3,113.81,Loyal Customers,3,3,1,URGENT: Support Escalation & Retention Credit
52780,87.2,High,2.0,3,No,Laptop & Accessory,Debit Card,27.0,2,157.17,Hibernating,1,2,2,Onboarding Outreach & Personal Discount
52292,87.19,High,3.0,1,Yes (Active Ticket),Laptop & Accessory,Debit Card,3.0,5,172.29,Loyal Customers,3,5,3,URGENT: Support Escalation & Retention Credit
52645,87.13,High,0.0,1,No,Mobile Phone,E wallet,13.0,3,122.32,At Risk,1,3,1,Onboarding Outreach & Personal Discount
54321,87.12,High,9.0,1,Yes (Active Ticket),Others,Credit Card,0.0,3,104.83,Loyal Customers,5,3,1,URGENT: Support Escalation & Retention Credit
50889,87.06,High,1.0,4,Yes (Active Ticket),Mobile Phone,E wallet,10.0,2,215.36,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
51804,87.0,High,4.0,4,Yes (Active Ticket),Laptop & Accessory,Debit Card,0.0,3,71.55,Loyal Customers,5,3,1,URGENT: Support Escalation & Retention Credit
52717,86.99,High,10.0,4,Yes (Active Ticket),Others,Credit Card,6.0,6,171.92,At Risk,2,5,3,URGENT: Support Escalation & Retention Credit
53521,86.87,High,3.0,2,No,Laptop & Accessory,UPI,20.0,6,214.24,At Risk,1,5,4,Onboarding Outreach & Personal Discount
51558,86.86,High,5.0,4,Yes (Active Ticket),Grocery,UPI,32.0,1,242.35,Promising,1,1,5,URGENT: Support Escalation & Retention Credit
55226,86.86,High,1.0,3,No,Mobile Phone,Credit Card,3.0,3,98.97,Loyal Customers,3,4,1,Onboarding Outreach & Personal Discount
50149,86.83,High,1.0,4,Yes (Active Ticket),Laptop & Accessory,Debit Card,12.0,7,274.76,At Risk,1,5,5,URGENT: Support Escalation & Retention Credit
53930,86.83,High,1.0,2,Yes (Active Ticket),Laptop & Accessory,Credit Card,5.0,4,106.57,At Risk,2,4,1,URGENT: Support Escalation & Retention Credit
55536,86.8,High,1.0,2,Yes (Active Ticket),Mobile Phone,Debit Card,2.0,2,203.32,Loyal Customers,4,3,4,URGENT: Support Escalation & Retention Credit
54141,86.76,High,4.0,4,Yes (Active Ticket),Grocery,Debit Card,6.0,1,135.03,Hibernating,2,1,1,URGENT: Support Escalation & Retention Credit
53316,86.75,High,11.0,3,No,Laptop & Accessory,E wallet,15.0,2,279.91,Need Attention,1,2,5,Targeted Win-Back Campaign
53069,86.72,High,3.0,5,Yes (Active Ticket),Laptop & Accessory,Credit Card,11.0,6,99.53,At Risk,1,5,1,URGENT: Support Escalation & Retention Credit
54724,86.71,High,5.0,1,No,Laptop & Accessory,Credit Card,3.0,3,112.35,Loyal Customers,3,4,1,Onboarding Outreach & Personal Discount
54210,86.69,High,1.0,4,Yes (Active Ticket),Mobile Phone,Debit Card,7.0,8,80.93,At Risk,2,5,1,URGENT: Support Escalation & Retention Credit
51040,86.62,High,4.0,3,No,Mobile Phone,Debit Card,11.0,2,149.03,Hibernating,1,2,2,Onboarding Outreach & Personal Discount
51715,86.6,High,1.0,2,Yes (Active Ticket),Laptop & Accessory,Debit Card,4.0,2,74.02,Potential Loyalist,3,2,1,URGENT: Support Escalation & Retention Credit
54980,86.59,High,0.0,4,No,Mobile Phone,Debit Card,2.0,6,92.84,Loyal Customers,4,5,1,Onboarding Outreach & Personal Discount
52641,86.57,High,4.0,1,No,Laptop & Accessory,Debit Card,9.0,2,151.43,Hibernating,1,2,2,Onboarding Outreach & Personal Discount
53486,86.57,High,9.0,2,No,Mobile Phone,Debit Card,16.0,1,145.52,Hibernating,1,1,2,Targeted Win-Back Campaign
54831,86.54,High,16.0,5,Yes (Active Ticket),Laptop & Accessory,UPI,18.0,2,113.42,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
52382,86.53,High,19.0,1,Yes (Active Ticket),Laptop & Accessory,Debit Card,11.0,2,125.76,Hibernating,1,2,1,URGENT: Support Escalation & Retention Credit
55621,86.53,High,1.0,5,Yes (Active Ticket),Fashion,Credit Card,3.0,4,226.61,Loyal Customers,3,5,5,URGENT: Support Escalation & Retention Credit
50944,86.47,High,18.0,3,Yes (Active Ticket),Fashion,COD,19.0,3,178.8,At Risk,1,3,3,URGENT: Support Escalation & Retention Credit
55363,86.45,High,8.0,1,Yes (Active Ticket),Laptop & Accessory,UPI,3.0,1,169.64,Potential Loyalist,3,1,3,URGENT: Support Escalation & Retention Credit
54731,86.42,High,1.0,3,No,Mobile Phone,Credit Card,17.0,8,143.04,At Risk,1,5,2,Onboarding Outreach & Personal Discount
55276,86.3,High,3.0,4,Yes (Active Ticket),Laptop & Accessory,Credit Card,0.0,5,38.06,Loyal Customers,5,5,1,URGENT: Support Escalation & Retention Credit
50191,86.29,High,1.0,5,Yes (Active Ticket),Fashion,Credit Card,12.0,1,158.88,Hibernating,1,1,2,URGENT: Support Escalation & Retention Credit
52760,86.27,High,1.0,1,Yes (Active Ticket),Laptop & Accessory,Debit Card,5.0,5,160.58,At Risk,2,5,2,URGENT: Support Escalation & Retention Credit
52132,86.24,High,0.0,4,Yes (Active Ticket),Mobile Phone,Debit Card,1.0,2,85.62,Potential Loyalist,5,2,1,URGENT: Support Escalation & Retention Credit
51946,86.2,High,7.0,1,Yes (Active Ticket),Grocery,UPI,1.0,1,325.0,Potential Loyalist,5,1,5,URGENT: Support Escalation & Retention Credit
50172,86.19,High,0.0,3,No,Others,Credit Card,31.0,4,317.97,At Risk,1,4,5,Onboarding Outreach & Personal Discount
53308,86.13,High,1.0,1,No,Mobile Phone,UPI,9.0,6,136.48,At Risk,1,5,2,Onboarding Outreach & Personal Discount
55203,86.12,High,10.0,4,Yes (Active Ticket),Others,Debit Card,11.0,2,188.88,Need Attention,1,2,4,URGENT: Support Escalation & Retention Credit
53315,86.1,High,2.0,4,Yes (Active Ticket),Fashion,UPI,4.0,2,119.53,Potential Loyalist,3,2,1,URGENT: Support Escalation & Retention Credit
52118,86.09,High,10.0,2,Yes (Active Ticket),Grocery,E wallet,7.0,2,223.18,Need Attention,2,2,5,URGENT: Support Escalation & Retention Credit
51284,86.08,High,0.0,1,Yes (Active Ticket),Mobile Phone,Debit Card,2.0,2,213.34,Potential Loyalist,4,2,4,URGENT: Support Escalation & Retention Credit
52180,86.05,High,7.0,2,Yes (Active Ticket),Laptop & Accessory,Debit Card,1.0,2,201.34,Potential Loyalist,5,2,4,URGENT: Support Escalation & Retention Credit
51532,85.98,High,9.0,3,Yes (Active Ticket),Mobile Phone,Debit Card,6.0,4,130.9,At Risk,2,4,1,URGENT: Support Escalation & Retention Credit
51587,85.98,High,12.0,3,No,Laptop & Accessory,Credit Card,12.0,2,99.74,Hibernating,1,2,1,Targeted Win-Back Campaign
55022,85.98,High,6.0,1,Yes (Active Ticket),Others,Debit Card,5.0,2,156.07,Hibernating,2,2,2,URGENT: Support Escalation & Retention Credit
52131,85.94,High,2.0,1,Yes (Active Ticket),Laptop & Accessory,Debit Card,9.0,1,179.05,Promising,1,1,3,URGENT: Support Escalation & Retention Credit
54345,85.91,High,9.0,3,Yes (Active Ticket),Laptop & Accessory,Debit Card,9.0,1,189.85,Promising,1,1,4,URGENT: Support Escalation & Retention Credit
52924,85.85,High,2.0,5,Yes (Active Ticket),Others,Debit Card,0.0,6,115.77,Loyal Customers,5,5,1,URGENT: Support Escalation & Retention Credit
53926,85.83,High,0.0,4,No,Laptop & Accessory,UPI,2.0,6,119.72,Loyal Customers,4,5,1,Onboarding Outreach & Personal Discount
53960,85.83,High,0.0,4,Yes (Active Ticket),Mobile Phone,Debit Card,14.0,2,275.87,Need Attention,1,2,5,URGENT: Support Escalation & Retention Credit
52279,85.78,High,10.0,4,Yes (Active Ticket),Laptop & Accessory,UPI,11.0,1,143.37,Hibernating,1,1,2,URGENT: Support Escalation & Retention Credit
51384,85.69,High,3.0,1,Yes (Active Ticket),Laptop & Accessory,UPI,3.0,1,137.29,Potential Loyalist,3,1,2,URGENT: Support Escalation & Retention Credit
53973,85.67,High,3.0,2,Yes (Active Ticket),Others,COD,3.0,3,97.04,Loyal Customers,3,3,1,URGENT: Support Escalation & Retention Credit
54789,85.64,High,7.0,2,Yes (Active Ticket),Laptop & Accessory,Debit Card,4.0,2,178.02,Potential Loyalist,3,2,3,URGENT: Support Escalation & Retention Credit
52178,85.63,High,10.0,2,No,Fashion,Credit Card,1.0,7,110.54,Loyal Customers,5,5,1,Targeted Win-Back Campaign
50074,85.59,High,17.0,3,Yes (Active Ticket),Fashion,Credit Card,1.0,7,75.14,Loyal Customers,5,5,1,URGENT: Support Escalation & Retention Credit
